Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription
84,1906,5,25,,,,2,0,,,,0,ELNanSALVADOR,OFFNanCOAST,13.25,-88.83,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1906,7,1,,,,1,0,,,,0,"MARSHALLNanISLANDS,NanREP.NanOF",MARSHALLNanISLANDS,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1906,8,7,,,,2,0,,,,0,USA,S.NanCALIFORNIA,33.9,-117,0.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1906,8,17,0,40,,3,1,8.2,,,0,CHILE,CENTRALNanCHILE,-33,-72,3.5,35,,1.8,2,,,,,,,,1,,,,,4000,4,,,,,100,4,,,,
88,1906,9,14,16,4,18,4,1,8,,,0,PAPUANanNEWNanGUINEA,SOLOMONNanSEA,-7,149,1.5,7,,0.6,1.5,,,,,,,,1,,,,,,2,,,,,,3,,3,,
89,1906,10,2,1,50,,3,1,7.2,,,0,PAPUANanNEWNanGUINEA,BISMARCKNanSEA,-4,149,1.2,2,,,1.5,,,,,,,,,,,,,,,,,,,,1,,,,
90,1906,11,6,,,,-1,9,,,,0,USA,WASHINGTON-OREGON,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1906,11,20,21,0,,3,1,5,,,0,GHANA,GOLDNanCOAST,6.5,0.3,,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,,
92,1906,11,28,,,,2,6,,7529,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1906,12,26,6,53,28,2,1,7.9,,,0,PERU,S.NanPERU,-18,-71,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1906,,,,,,1,2,,,,0,VENEZUELA,MAIQUETIA,10.6,-66.95,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1907,1,4,5,19,13.2,4,1,8.2,,,0,INDONESIA,NW.NanSUMATRA,2.681,95.53,15,88,,1.5,2,2188,4,,,,,,3,,3,,,2188,4,,,,,,3,,3,,
96,1907,1,14,20,38,12,4,1,6.2,,,0,JAMAICA,JAMAICA,18.667,-76.237,2.5,10,,1.3,,,,,,,,,2,,,,,1000,3,,,,,30,4,,3,,
97,1907,3,29,20,46,30,1,1,7.3,,,0,INDONESIA,"KARAKELONG,NanTALAUDNanISLANDS",3,122,4,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
98,1907,4,14,6,8,6,3,1,8.1,,,0,MEXICO,S.NanMEXICO,17,-100,2,3,,1,,,,,,,,,,,,,,8,1,,,,,,2,,3,,
99,1907,6,8,,,,2,6,,7530,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1907,6,19,,,,2,6,,7531,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1907,6,27,,,,2,6,,7532,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1907,7,9,,,,2,6,,7533,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1907,7,25,,,,2,6,,7534,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1907,7,,,,,2,6,,2029,,0,TONGA,TONGANanISLANDS,-21.38,-175.65,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
105,1907,9,24,12,58,0,3,3,5.5,,,0,USA,"SKAGWAY,NanAK",59.5,-135.5,0.7,1,,-0.5,0,,,,,,,,,,,,,,,,,,,,1,,,,
106,1907,10,6,,,,4,6,,4984,,0,SAMOA,MATAVANUNanVOLCANO,-13.612,-172.525,3.6,2,,,,,,,,,,,1,1,1,,,,,,,,,,3,,3,,
107,1907,10,23,20,28,19,4,1,5.9,,,0,ITALY,IONIANNanCALABRIA,38.133,16.017,,2,,,3,,,,,,,,,,,,,158,3,,,,,,2,,3,,
108,1907,12,15,17,35,,2,1,7.4,,,0,PAPUANanNEWNanGUINEA,BISMARCKNanSEA,-3.1,142.5,,1,,,,,,,,,,,2,,3,,,,,,,,,,2,,3,,
109,1908,2,6,,,,3,1,7.5,,,0,INDONESIA,SW.NanSUMATRA,-2,100,1.4,1,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,
110,1908,2,14,11,25,0,1,3,6,,,0,USA,"PRINCENanWILLIAMNanSOUND,NanAK",61,-146.2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
111,1908,3,23,12,20,,-1,1,6.6,,,0,INDONESIA,TIMORNanSEA,-10,129,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
112,1908,4,6,,,,0,8,,,,0,CANADA,NOTRENanDAMENanDENanLANanSALETTE,45.77,-75.6,15,1,,,,26,1,,,,,,2,40,1,,1,33,1,,,,,,2,40,1,,1
113,1908,5,31,,,,1,1,6.5,,,0,UKRAINE,CRIMEA,44,34,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1908,9,11,,,,2,0,,,,0,CANADA,GULFNanOFNanSAINTNanLAWRENCE,48.958,-62.133,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1908,9,21,6,31,,4,1,6.8,,,0,USA,HAWAII,19,-155,1.2,2,,-0.5,0,,,,,,,,,,,,,,,,,,,,,,,,
116,1908,12,12,12,8,,1,2,,,,0,PERU,S.NanPERU,-14,-78,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1908,12,28,4,20,27,4,3,7,,,5,ITALY,"MESSINANanSTRAIT,NanIONIANNanSEA",38.17,15.58,13,87,,,5,2000,4,,,,,,4,,4,,,80000,4,,,,,116,4,,4,,
